FireID,Date.yymmdd,IgnTime.hhmmss,IgnLngth.m,RH.%,Temp.C,NE2mWind.ms,NW2mWind.ms,SW2mWind.ms,SE2mWind.ms,CloudCov.8,FuelType,FuelTreat,FuelHt.m,FuelLoad.kgm2,SAVR.cm,Cure.%,DFMC.%,BurnPeriodEnd.hhmmss,CumDist.m,IncDist.m,FlameDpthAir.m,FlameDpthGnd.m,FlameHt.m,FlameAng.deg,FireDir.deg,TimeSinceIgn,MidTime,ROS.ms
A011,860730,131530,77,34,24,4.9,3.7,4.6,5.9,28,ER,E1,0.3,0.426,97.7,95,6.4,131548,6.5,6.5,NA,NA,4,60,345,18,9,0.36
A011,860730,131530,77,34,24,4.9,4,5.2,6,28,ER,E1,0.3,0.426,97.7,95,6.4,131600,21.9,18.1,NA,NA,4,60,5,30,24,1.51
A011,860730,131530,77,34,24,5.6,4.8,3.9,5.8,28,ER,E1,0.3,0.426,97.7,95,6.4,131605,28,11,NA,NA,4,60,310,35,33,2.2
A011,860730,131530,77,34,24,6.6,6.1,4.5,5.6,28,ER,E1,0.3,0.426,97.7,95,6.4,131618,45,13.5,NA,NA,4,60,340,48,42,1.04
A011,860730,131530,77,34,24,7.7,5.3,4.5,5.7,28,ER,E1,0.3,0.426,97.7,95,6.4,131623,60,16,NA,NA,4,60,340,53,51,3.2
A012,860730,131530,75,34,24,2.6,4.9,5.9,4.7,18,ER,E1,0.12,0.507,97.7,95,9.1,131548,4.5,4.5,NA,NA,1.5,20,360,18,9,0.25
A012,860730,131530,75,34,24,2.1,4.9,6,5.1,18,ER,E1,0.12,0.507,97.7,95,9.1,131600,13,10,NA,NA,1.5,20,360,30,24,0.83
A012,860730,131530,75,34,24,1.4,5.6,5.8,4.5,18,ER,E1,0.12,0.507,97.7,95,9.1,131605,19,6.3,NA,NA,1.5,20,350,35,33,1.26
A012,860730,131530,75,34,24,2.4,6.6,5.6,3.6,18,ER,E1,0.12,0.507,97.7,95,9.1,131618,25.8,9,NA,NA,1.5,20,15,48,42,0.69
A012,860730,131530,75,34,24,3.4,7.7,5.7,4.1,18,ER,E1,0.12,0.507,97.7,95,9.1,131623,38,13,NA,NA,1,15,350,53,51,2.6
