FireID,2mWind.ms,MidFlwind.ms,10mWind.ms,Temp.C,RH.%,DFMC.%,Cure.%,FuelType,FuelTreat,FuelLoad.kgm2,FuelHt.m,IgnLnght.m,HeadFShape,EffHFWidth.m,ROS.ms,RSS.ms
A023,4.1,4.6,4.84,24,36,7.4,100,ER,E1,0.403,0.23,60,2,58,1.65,1.925
A061,2.9,2.6,3.35,25,33,8.8,100,ER,E1,0.328,0.17,44,2,37,0.411,0.494
A066,3.5,4,4,25,33,7,100,ER,E1,0.416,0.22,45,2,58,1.069,1.208
A071,4.8,4,6.57,25,25,6.4,100,ER,E1,0.485,0.24,45,1,45,1.011,1.314
A074,5.47,4.9,6.9,25,25,6.4,100,ER,E1,0.324,0.2,60,2,60,1.069,1.358
A082,4.27,4.3,5.43,26,24,6.6,100,ER,E1,0.326,0.26,50,2,44,1.431,1.75
A091,4.3,4,5.7,26.5,24,6.6,100,ER,E1,0.326,0.25,60,2,60,1.139,1.322
A121,3.65,3.6,4.25,26.5,51,7.6,100,ER,E1,0.377,0.19,62,2,62,0.981,1.1
A142,6.73,5.3,11,27.5,23,7.2,100,ER,E1,0.334,0.23,60,2,60,1.8,2.286
A144,4.6,4.2,6.6,27,23,7.2,100,ER,E1,0.412,0.32,60,2,58,1.711,2.097
A154,6.15,6.1,9.05,27.5,23,7.4,100,ER,E1,0.47,0.31,60,2,59,1.719,2.192
B244,4.83,4.3,6.07,29,38,7.7,100,ER,E1,0.459,0.39,50,1,50,0.811,1.028
C013,2.5,2.4,3.03,32,33,6.5,100,ER,E1,0.252,0.28,51,2,33,0.319,0.394
C014,3.35,2.5,4.05,31.5,35,6.5,100,ER,E1,0.279,0.33,50,2,46,0.969,1.133
C062,3.2,2.2,3.65,32,33,6.2,100,ER,E1,0.296,0.24,50,2,41,1.019,1.208
C071,4.18,4,4.72,35.1,26,5.7,100,ER,E1,0.267,0.29,100,2,78,1.6,1.794
E03,6.1,4.5,7.6,29.3,47,10,100,ER,E1,0.465,0.19,134,2,136,1.5,1.667
